GEOID,County,State,measure,value
08001,Adams County,Colorado,Income Inequality (Gini Coefficient),0.4098
08003,Alamosa County,Colorado,Income Inequality (Gini Coefficient),0.4882
08005,Arapahoe County,Colorado,Income Inequality (Gini Coefficient),0.4553
08007,Archuleta County,Colorado,Income Inequality (Gini Coefficient),0.4248
08009,Baca County,Colorado,Income Inequality (Gini Coefficient),0.481
08011,Bent County,Colorado,Income Inequality (Gini Coefficient),0.4413
08013,Boulder County,Colorado,Income Inequality (Gini Coefficient),0.4898
08014,Broomfield County,Colorado,Income Inequality (Gini Coefficient),0.4008
08015,Chaffee County,Colorado,Income Inequality (Gini Coefficient),0.4481
08017,Cheyenne County,Colorado,Income Inequality (Gini Coefficient),0.4029
08019,Clear Creek County,Colorado,Income Inequality (Gini Coefficient),0.4506
08021,Conejos County,Colorado,Income Inequality (Gini Coefficient),0.4422
08023,Costilla County,Colorado,Income Inequality (Gini Coefficient),0.5167
08025,Crowley County,Colorado,Income Inequality (Gini Coefficient),0.47
08027,Custer County,Colorado,Income Inequality (Gini Coefficient),0.4141
08029,Delta County,Colorado,Income Inequality (Gini Coefficient),0.4751
08031,Denver County,Colorado,Income Inequality (Gini Coefficient),0.4883
08033,Dolores County,Colorado,Income Inequality (Gini Coefficient),0.4517
08035,Douglas County,Colorado,Income Inequality (Gini Coefficient),0.3998
08037,Eagle County,Colorado,Income Inequality (Gini Coefficient),0.5153
08039,Elbert County,Colorado,Income Inequality (Gini Coefficient),0.4092
08041,El Paso County,Colorado,Income Inequality (Gini Coefficient),0.4284
08043,Fremont County,Colorado,Income Inequality (Gini Coefficient),0.4645
08045,Garfield County,Colorado,Income Inequality (Gini Coefficient),0.4352
08047,Gilpin County,Colorado,Income Inequality (Gini Coefficient),0.4624
08049,Grand County,Colorado,Income Inequality (Gini Coefficient),0.4427
08051,Gunnison County,Colorado,Income Inequality (Gini Coefficient),0.4512
08053,Hinsdale County,Colorado,Income Inequality (Gini Coefficient),0.3944
08055,Huerfano County,Colorado,Income Inequality (Gini Coefficient),0.5227
08057,Jackson County,Colorado,Income Inequality (Gini Coefficient),0.5182
08059,Jefferson County,Colorado,Income Inequality (Gini Coefficient),0.4311
08061,Kiowa County,Colorado,Income Inequality (Gini Coefficient),0.4352
08063,Kit Carson County,Colorado,Income Inequality (Gini Coefficient),0.4819
08065,Lake County,Colorado,Income Inequality (Gini Coefficient),0.3975
08067,La Plata County,Colorado,Income Inequality (Gini Coefficient),0.4327
08069,Larimer County,Colorado,Income Inequality (Gini Coefficient),0.4522
08071,Las Animas County,Colorado,Income Inequality (Gini Coefficient),0.4626
08073,Lincoln County,Colorado,Income Inequality (Gini Coefficient),0.489
08075,Logan County,Colorado,Income Inequality (Gini Coefficient),0.4319
08077,Mesa County,Colorado,Income Inequality (Gini Coefficient),0.4446
08079,Mineral County,Colorado,Income Inequality (Gini Coefficient),0.479
08081,Moffat County,Colorado,Income Inequality (Gini Coefficient),0.4294
08083,Montezuma County,Colorado,Income Inequality (Gini Coefficient),0.4397
08085,Montrose County,Colorado,Income Inequality (Gini Coefficient),0.4502
