GEOID,County,State,measure,value
08001,Adams County,Colorado,Insured,0.8888650063619213
08003,Alamosa County,Colorado,Insured,0.936081205782836
08005,Arapahoe County,Colorado,Insured,0.9102497987232202
08007,Archuleta County,Colorado,Insured,0.8848751835535976
08009,Baca County,Colorado,Insured,0.9229857819905213
08011,Bent County,Colorado,Insured,0.9181561618062088
08013,Boulder County,Colorado,Insured,0.9562558839132661
08014,Broomfield County,Colorado,Insured,0.951993141877411
08015,Chaffee County,Colorado,Insured,0.9270207352065399
08017,Cheyenne County,Colorado,Insured,0.9195742164399764
08019,Clear Creek County,Colorado,Insured,0.9313725490196079
08021,Conejos County,Colorado,Insured,0.8647098065376918
08023,Costilla County,Colorado,Insured,0.9169248099127006
08025,Crowley County,Colorado,Insured,0.9230217547214917
08027,Custer County,Colorado,Insured,0.9216034755134281
08029,Delta County,Colorado,Insured,0.889516924088071
08031,Denver County,Colorado,Insured,0.9122146533947205
08033,Dolores County,Colorado,Insured,0.9329140461215933
08035,Douglas County,Colorado,Insured,0.963130686235729
08037,Eagle County,Colorado,Insured,0.8988184630973275
08039,Elbert County,Colorado,Insured,0.9544026900195839
08041,El Paso County,Colorado,Insured,0.9289844407818769
08043,Fremont County,Colorado,Insured,0.9413749879471603
08045,Garfield County,Colorado,Insured,0.821232597899536
08047,Gilpin County,Colorado,Insured,0.9257671866963827
08049,Grand County,Colorado,Insured,0.8680837563451776
08051,Gunnison County,Colorado,Insured,0.9383742026101715
08053,Hinsdale County,Colorado,Insured,0.8935037273695421
08055,Huerfano County,Colorado,Insured,0.9575810949655071
08057,Jackson County,Colorado,Insured,0.9251412429378532
08059,Jefferson County,Colorado,Insured,0.9475628091240259
08061,Kiowa County,Colorado,Insured,0.9300225733634312
08063,Kit Carson County,Colorado,Insured,0.8916305916305917
08065,Lake County,Colorado,Insured,0.8667119565217392
08067,La Plata County,Colorado,Insured,0.9047354060458103
08069,Larimer County,Colorado,Insured,0.9428628414558812
08071,Las Animas County,Colorado,Insured,0.9153602761397958
08073,Lincoln County,Colorado,Insured,0.9212634470130464
08075,Logan County,Colorado,Insured,0.9124053998772755
08077,Mesa County,Colorado,Insured,0.9018481598533268
08079,Mineral County,Colorado,Insured,0.8442211055276382
08081,Moffat County,Colorado,Insured,0.9112227805695142
08083,Montezuma County,Colorado,Insured,0.8856801817411728
08085,Montrose County,Colorado,Insured,0.8708811724073555
08087,Morgan County,Colorado,Insured,0.8922814469240679
08089,Otero County,Colorado,Insured,0.9286965087008865
08091,Ouray County,Colorado,Insured,0.8572850318471338
08093,Park County,Colorado,Insured,0.9299399161092846
08095,Phillips County,Colorado,Insured,0.9454009968282737
08097,Pitkin County,Colorado,Insured,0.9545481134834747
08099,Prowers County,Colorado,Insured,0.8990250105977109
08101,Pueblo County,Colorado,Insured,0.9431076994084853
08103,Rio Blanco County,Colorado,Insured,0.9036482694106641
08105,Rio Grande County,Colorado,Insured,0.8623207765606911
08107,Routt County,Colorado,Insured,0.9197535835078112
08109,Saguache County,Colorado,Insured,0.8898318160777657
08111,San Juan County,Colorado,Insured,0.8753623188405797
08113,San Miguel County,Colorado,Insured,0.8923000124797205
08115,Sedgwick County,Colorado,Insured,0.9166666666666666
08117,Summit County,Colorado,Insured,0.8977578766345437
08119,Teller County,Colorado,Insured,0.9300881003613333
08121,Washington County,Colorado,Insured,0.9371907937190793
08123,Weld County,Colorado,Insured,0.9152324647404853
08125,Yuma County,Colorado,Insured,0.8537861686845886
08001,Adams County,Colorado,Enrolled in Medicaid,0.22620804538362482
08003,Alamosa County,Colorado,Enrolled in Medicaid,0.3846201168871117
08005,Arapahoe County,Colorado,Enrolled in Medicaid,0.1755980190978182
08007,Archuleta County,Colorado,Enrolled in Medicaid,0.20374449339207049
08009,Baca County,Colorado,Enrolled in Medicaid,0.37885071090047395
08011,Bent County,Colorado,Enrolled in Medicaid,0.4261523988711195
08013,Boulder County,Colorado,Enrolled in Medicaid,0.1234126850270315
08014,Broomfield County,Colorado,Enrolled in Medicaid,0.09490195027861123
08015,Chaffee County,Colorado,Enrolled in Medicaid,0.19024416653131937
08017,Cheyenne County,Colorado,Enrolled in Medicaid,0.22945002956830277
08019,Clear Creek County,Colorado,Enrolled in Medicaid,0.08295625942684766
08021,Conejos County,Colorado,Enrolled in Medicaid,0.3958639092728486
08023,Costilla County,Colorado,Enrolled in Medicaid,0.37651365812447196
08025,Crowley County,Colorado,Enrolled in Medicaid,0.36672244800382503
08027,Custer County,Colorado,Enrolled in Medicaid,0.15817535545023698
08029,Delta County,Colorado,Enrolled in Medicaid,0.28642786723628
08031,Denver County,Colorado,Enrolled in Medicaid,0.20303218583743896
08033,Dolores County,Colorado,Enrolled in Medicaid,0.19161425576519917
08035,Douglas County,Colorado,Enrolled in Medicaid,0.06580824683207617
08037,Eagle County,Colorado,Enrolled in Medicaid,0.1298243074529104
08039,Elbert County,Colorado,Enrolled in Medicaid,0.10028452130214684
08041,El Paso County,Colorado,Enrolled in Medicaid,0.1945727060301832
08043,Fremont County,Colorado,Enrolled in Medicaid,0.272056696557709
08045,Garfield County,Colorado,Enrolled in Medicaid,0.1939591305055768
08047,Gilpin County,Colorado,Enrolled in Medicaid,0.17538145036859248
08049,Grand County,Colorado,Enrolled in Medicaid,0.06871827411167512
08051,Gunnison County,Colorado,Enrolled in Medicaid,0.1470123485690876
08053,Hinsdale County,Colorado,Enrolled in Medicaid,0.16613418530351437
08055,Huerfano County,Colorado,Enrolled in Medicaid,0.35035960663437543
08057,Jackson County,Colorado,Enrolled in Medicaid,0.2612994350282486
08059,Jefferson County,Colorado,Enrolled in Medicaid,0.12762347103924906
08061,Kiowa County,Colorado,Enrolled in Medicaid,0.23777276147479307
08063,Kit Carson County,Colorado,Enrolled in Medicaid,0.25165945165945164
08065,Lake County,Colorado,Enrolled in Medicaid,0.12418478260869566
08067,La Plata County,Colorado,Enrolled in Medicaid,0.18038701802254614
08069,Larimer County,Colorado,Enrolled in Medicaid,0.14910898055630195
