GEOID,County,State,measure,value,sex
08117,Summit,Colorado,Up-To-Date Percent,0.5286,All
08107,Routt,Colorado,Up-To-Date Percent,0.5181,All
08099,Prowers,Colorado,Up-To-Date Percent,0.6419,All
08061,Kiowa,Colorado,Up-To-Date Percent,0.7568,All
08059,Jefferson,Colorado,Up-To-Date Percent,0.5568,All
08035,Douglas,Colorado,Up-To-Date Percent,0.5314,All
08031,Denver,Colorado,Up-To-Date Percent,0.5581,All
08023,Costilla,Colorado,Up-To-Date Percent,0.5374,All
08014,Broomfield,Colorado,Up-To-Date Percent,0.5408,All
08005,Arapahoe,Colorado,Up-To-Date Percent,0.5728,All
08001,Adams,Colorado,Up-To-Date Percent,0.5390999999999999,All
08123,Weld,Colorado,Up-To-Date Percent,0.5058,All
08089,Otero,Colorado,Up-To-Date Percent,0.4996,All
08079,Mineral,Colorado,Up-To-Date Percent,0.5,All
08069,Larimer,Colorado,Up-To-Date Percent,0.47729999999999995,All
08039,Elbert,Colorado,Up-To-Date Percent,0.46159999999999995,All
08013,Boulder,Colorado,Up-To-Date Percent,0.465,All
08011,Bent,Colorado,Up-To-Date Percent,0.5091,All
08113,San Miguel,Colorado,Up-To-Date Percent,0.4475,All
08111,San Juan,Colorado,Up-To-Date Percent,0.4118,All
08101,Pueblo,Colorado,Up-To-Date Percent,0.4445,All
08093,Park,Colorado,Up-To-Date Percent,0.4152,All
08085,Montrose,Colorado,Up-To-Date Percent,0.4144,All
08071,Las Animas,Colorado,Up-To-Date Percent,0.4289,All
08065,Lake,Colorado,Up-To-Date Percent,0.4404,All
08049,Grand,Colorado,Up-To-Date Percent,0.4199,All
08047,Gilpin,Colorado,Up-To-Date Percent,0.41479999999999995,All
08045,Garfield,Colorado,Up-To-Date Percent,0.43060000000000004,All
08033,Dolores,Colorado,Up-To-Date Percent,0.4156,All
08009,Baca,Colorado,Up-To-Date Percent,0.4279,All
08105,Rio Grande,Colorado,Up-To-Date Percent,0.381,All
08087,Morgan,Colorado,Up-To-Date Percent,0.392,All
08077,Mesa,Colorado,Up-To-Date Percent,0.3768,All
08067,La Plata,Colorado,Up-To-Date Percent,0.4086,All
08057,Jackson,Colorado,Up-To-Date Percent,0.3667,All
08055,Huerfano,Colorado,Up-To-Date Percent,0.37329999999999997,All
08041,El Paso,Colorado,Up-To-Date Percent,0.3837,All
08037,Eagle,Colorado,Up-To-Date Percent,0.38170000000000004,All
08019,Clear Creek,Colorado,Up-To-Date Percent,0.3911,All
08017,Cheyenne,Colorado,Up-To-Date Percent,0.4,All
08003,Alamosa,Colorado,Up-To-Date Percent,0.39649999999999996,All
08081,Moffat,Colorado,Up-To-Date Percent,0.3178,All
08073,Lincoln,Colorado,Up-To-Date Percent,0.3281,All
08029,Delta,Colorado,Up-To-Date Percent,0.3469,All
08027,Custer,Colorado,Up-To-Date Percent,0.3172,All
08025,Crowley,Colorado,Up-To-Date Percent,0.33899999999999997,All
08015,Chaffee,Colorado,Up-To-Date Percent,0.32799999999999996,All
08119,Teller,Colorado,Up-To-Date Percent,0.3007,All
08109,Saguache,Colorado,Up-To-Date Percent,0.2877,All
08097,Pitkin,Colorado,Up-To-Date Percent,0.2656,All
08095,Phillips,Colorado,Up-To-Date Percent,0.2633,All
08091,Ouray,Colorado,Up-To-Date Percent,0.26839999999999997,All
